iter	Passed	Remaining
675	7664	3673
676	7679	3664
677	7689	3651
678	7697	3638
679	7707	3626
680	7713	3613
681	7726	3602
682	7739	3592
683	7747	3579
684	7759	3568
685	7773	3557
686	7781	3545
687	7793	3534
688	7798	3520
689	7803	3506
690	7814	3494
691	7819	3480
692	7826	3467
693	7842	3457
694	7853	3446
695	7861	3433
696	7870	3421
697	7874	3407
698	7889	3397
699	7899	3385
700	7906	3372
701	7910	3358
702	7918	3345
703	7929	3333
704	7937	3321
705	7946	3309
706	7956	3297
707	7968	3286
708	7974	3273
709	7990	3263
710	8007	3254
711	8015	3242
712	8029	3231
713	8039	3220
714	8055	3211
715	8066	3199
716	8083	3190
717	8091	3178
718	8106	3168
719	8115	3156
720	8127	3145
721	8135	3132
722	8147	3121
723	8155	3109
724	8160	3095
725	8175	3085
726	8189	3075
727	8194	3061
728	8199	3048
729	8208	3036
730	8216	3023
731	8223	3010
732	8232	2998
733	8245	2988
734	8260	2978
735	8275	2968
736	8286	2957
737	8295	2944
738	8306	2933
739	8317	2922
740	8332	2912
741	8342	2900
742	8353	2889
743	8360	2876
744	8372	2865
745	8381	2853
746	8396	2843
747	8403	2831
748	8415	2820
749	8420	2806
750	8433	2796
751	8445	2785
752	8449	2771
753	8461	2760
754	8467	2747
755	8475	2735
756	8487	2724
757	8499	2713
758	8506	2700
759	8517	2689
760	8531	2679
761	8540	2667
762	8550	2655
763	8557	2643
764	8572	2633
765	8577	2620
766	8591	2610
767	8596	2596
768	8605	2585
769	8613	2572
770	8618	2559
771	8624	2547
772	8637	2536
773	8645	2524
774	8662	2515
775	8677	2504
776	8690	2494
777	8706	2484
778	8720	2473
779	8743	2466
780	8753	2454
781	8762	2442
782	8774	2431
783	8790	2421
784	8793	2408
785	8802	2396
786	8817	2386
787	8821	2373
788	8826	2360
789	8837	2349
790	8843	2336
791	8858	2326
792	8866	2314
793	8886	2305
794	8891	2292
795	8904	2282
796	8910	2269
797	8924	2259
798	8939	2248
799	8947	2236
800	8953	2224
801	8962	2212
802	8971	2201
803	8985	2190
804	8992	2178
805	9000	2166
806	9006	2153
807	9019	2143
808	9030	2132
809	9039	2120
810	9047	2108
811	9053	2096
812	9068	2085
813	9081	2075
814	9092	2063
815	9109	2054
816	9114	2041
817	9119	2029
818	9133	2018
819	9139	2006
820	9148	1994
821	9154	1982
822	9160	1970
823	9170	1958
824	9187	1948
825	9199	1937
826	9211	1927
827	9217	1914
828	9223	1902
829	9237	1892
830	9246	1880
831	9262	1870
832	9268	1858
833	9285	1848
834	9296	1837
835	9312	1826
836	9316	1814
837	9324	1802
838	9330	1790
839	9343	1779
840	9356	1768
841	9364	1757
842	9374	1745
843	9379	1733
844	9394	1723
845	9405	1712
846	9416	1700
847	9429	1690
848	9446	1680
849	9465	1670
850	9482	1660
851	9491	1648
852	9503	1637
853	9512	1626
854	9524	1615
855	9533	1603
856	9542	1592
857	9555	1581
858	9567	1570
859	9579	1559
860	9588	1548
861	9596	1536
862	9605	1524
863	9611	1512
864	9617	1501
865	9629	1490
866	9642	1479
867	9649	1467
868	9666	1457
869	9681	1446
870	9693	1435
871	9716	1426
872	9730	1415
873	9741	1404
874	9753	1393
875	9763	1382
876	9768	1370
877	9783	1359
878	9793	1348
879	9800	1336
880	9808	1324
881	9813	1312
882	9823	1301
883	9835	1290
884	9843	1279
885	9858	1268
886	9864	1256
887	9871	1245
888	9878	1233
889	9893	1222
890	9900	1211
891	9914	1200
892	9924	1189
893	9933	1177
894	9943	1166
895	9950	1155
896	9961	1143
897	9968	1132
898	9979	1121
899	9989	1109
900	9999	1098
901	10013	1087
902	10024	1076
903	10030	1065
904	10038	1053
905	10043	1042
906	10051	1030
907	10063	1019
908	10073	1008
909	10079	996
910	10087	985
911	10096	974
912	10102	962
913	10111	951
914	10128	940
915	10145	930
916	10153	919
917	10159	907
918	10166	896
919	10184	885
920	10197	874
921	10207	863
922	10222	852
923	10238	842
924	10247	830
925	10255	819
926	10266	808
927	10273	797
928	10284	786
929	10294	774
930	10301	763
931	10309	752
932	10318	740
933	10332	730
934	10338	718
935	10344	707
936	10354	696
937	10361	684
938	10374	673
939	10388	663
940	10406	652
941	10416	641
942	10422	629
943	10430	618
944	10444	607
945	10456	596
946	10467	585
947	10476	574
948	10487	563
949	10500	552
950	10512	541
951	10522	530
